Date,Open,High,Low,Close,Adj Close,Volume
1988-01-26,851.789978,851.789978,851.789978,851.789978,851.789978,0
1988-01-27,847.770020,847.770020,847.770020,847.770020,847.770020,0
1988-01-28,829.729980,829.729980,829.729980,829.729980,829.729980,0
1988-01-29,827.359985,827.359985,827.359985,827.359985,827.359985,0
1988-02-01,793.320007,793.320007,793.320007,793.320007,793.320007,0
1988-02-02,806.979980,806.979980,806.979980,806.979980,806.979980,0
1988-02-03,828.669983,828.669983,828.669983,828.669983,828.669983,0
1988-02-04,841.700012,841.700012,841.700012,841.700012,841.700012,0
1988-02-05,826.590027,826.590027,826.590027,826.590027,826.590027,0
1988-02-08,818.320007,818.320007,818.320007,818.320007,818.320007,0
1988-02-09,803.440002,803.440002,803.440002,803.440002,803.440002,0
1988-02-10,808.309998,808.309998,808.309998,808.309998,808.309998,0
1988-02-11,802.739990,802.739990,802.739990,802.739990,802.739990,0
1988-02-12,800.739990,800.739990,800.739990,800.739990,800.739990,0
1988-02-15,802.940002,802.940002,802.940002,802.940002,802.940002,0
1988-02-16,817.950012,817.950012,817.950012,817.950012,817.950012,0
1988-02-17,802.919983,802.919983,802.919983,802.919983,802.919983,0
1988-02-18,797.169983,797.169983,797.169983,797.169983,797.169983,0
1988-02-19,792.260010,792.260010,792.260010,792.260010,792.260010,0
1988-02-22,777.640015,777.640015,777.640015,777.640015,777.640015,0
1988-02-23,776.950012,776.950012,776.950012,776.950012,776.950012,0
1988-02-24,783.140015,783.140015,783.140015,783.140015,783.140015,0
1988-02-25,783.140015,783.140015,783.140015,783.140015,783.140015,0
1988-02-26,779.000000,779.000000,779.000000,779.000000,779.000000,0
1988-02-29,761.940002,761.940002,761.940002,761.940002,761.940002,0
1988-03-01,766.679993,766.679993,766.679993,766.679993,766.679993,0
1988-03-02,783.710022,783.710022,783.710022,783.710022,783.710022,0
1988-03-03,796.289978,796.289978,796.289978,796.289978,796.289978,0
1988-03-04,777.390015,777.390015,777.390015,777.390015,777.390015,0
1988-03-07,763.289978,763.289978,763.289978,763.289978,763.289978,0
1988-03-08,754.880005,754.880005,754.880005,754.880005,754.880005,0
1988-03-09,760.159973,760.159973,760.159973,760.159973,760.159973,0
1988-03-10,756.390015,756.390015,756.390015,756.390015,756.390015,0
1988-03-11,753.950012,753.950012,753.950012,753.950012,753.950012,0
1988-03-14,764.270020,764.270020,764.270020,764.270020,764.270020,0
1988-03-15,761.909973,761.909973,761.909973,761.909973,761.909973,0
1988-03-16,758.460022,758.460022,758.460022,758.460022,758.460022,0
1988-03-17,748.729980,748.729980,748.729980,748.729980,748.729980,0
1988-03-18,756.380005,756.380005,756.380005,756.380005,756.380005,0
1988-03-21,755.130005,755.130005,755.130005,755.130005,755.130005,0
1988-03-22,751.940002,751.940002,751.940002,751.940002,751.940002,0
1988-03-23,746.119995,746.119995,746.119995,746.119995,746.119995,0
1988-03-24,749.739990,749.739990,749.739990,749.739990,749.739990,0
1988-03-25,750.030029,750.030029,750.030029,750.030029,750.030029,0
1988-03-28,748.299988,748.299988,748.299988,748.299988,748.299988,0
1988-03-29,754.039978,754.039978,754.039978,754.039978,754.039978,0
1988-03-30,753.919983,753.919983,753.919983,753.919983,753.919983,0
1988-03-31,753.919983,753.919983,753.919983,753.919983,753.919983,0
1988-04-01,753.919983,753.919983,753.919983,753.919983,753.919983,0
1988-04-04,740.760010,740.760010,740.760010,740.760010,740.760010,0
1988-04-05,742.679993,742.679993,742.679993,742.679993,742.679993,0
1988-04-06,750.750000,750.750000,750.750000,750.750000,750.750000,0
1988-04-07,749.739990,749.739990,749.739990,749.739990,749.739990,0
1988-04-08,749.880005,749.880005,749.880005,749.880005,749.880005,0
1988-04-11,750.059998,750.059998,750.059998,750.059998,750.059998,0
1988-04-12,747.409973,747.409973,747.409973,747.409973,747.409973,0
1988-04-13,741.000000,741.000000,741.000000,741.000000,741.000000,0
1988-04-14,748.320007,748.320007,748.320007,748.320007,748.320007,0
1988-04-15,748.820007,748.820007,748.820007,748.820007,748.820007,0
1988-04-18,764.210022,764.210022,764.210022,764.210022,764.210022,0
1988-04-19,775.799988,775.799988,775.799988,775.799988,775.799988,0
1988-04-20,760.070007,760.070007,760.070007,760.070007,760.070007,0
1988-04-21,751.690002,751.690002,751.690002,751.690002,751.690002,0
1988-04-22,788.890015,788.890015,788.890015,788.890015,788.890015,0
1988-04-25,782.890015,782.890015,782.890015,782.890015,782.890015,0
